id,turn,semantic_category,instruction_type,visual_impact,object_type
398575,3,Object Addition,Imperative,Moderate Edit,People
15653,1,Object Addition,Imperative,Subtle Edit,Furniture/Objects
475195,1,Object Addition,Imperative,Moderate Edit,Food
475195,2,Object Addition,Imperative,Subtle Edit,Food
519172,1,Object Removal,Interrogative,Moderate Edit,People
519172,2,Object Addition,Interrogative,Moderate Edit,Background/Scene
519172,3,Object Addition,Imperative,Moderate Edit,Vehicles
376859,1,Object Addition,Imperative,Subtle Edit,Clothing
395040,1,Attribute Changes,Interrogative,Moderate Edit,People
130518,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
130518,2,Object Removal,Imperative,Moderate Edit,Furniture/Objects
403265,1,Color Changes,Imperative,Moderate Edit,Furniture/Objects
403265,2,Object Addition,Imperative,Subtle Edit,Animals
403265,3,Color Changes,Imperative,Subtle Edit,Furniture/Objects
580685,1,Object Replacement,Imperative,Moderate Edit,Food
580685,2,Object Addition,Imperative,Subtle Edit,Food
580685,3,Color Changes,Interrogative,Subtle Edit,Furniture/Objects
207833,1,Object Addition,Imperative,Moderate Edit,Animals
334809,1,Object Replacement,Imperative,Moderate Edit,Food
381199,1,Object Replacement,Imperative,Moderate Edit,Food
381199,2,Object Replacement,Imperative,Subtle Edit,Food
177824,1,Attribute Changes,Imperative,Moderate Edit,Furniture/Objects
177824,2,Attribute Changes,Imperative,Moderate Edit,Background/Scene
177824,3,Object Addition,Imperative,Moderate Edit,Animals
129062,1,Object Addition,Imperative,Moderate Edit,Animals
129062,2,Object Addition,Imperative,Subtle Edit,Food
129062,3,Object Addition,Imperative,Moderate Edit,Furniture/Objects
203920,1,Object Replacement,Imperative,Moderate Edit,Background/Scene
184184,1,Object Addition,Imperative,Subtle Edit,Food
184184,2,Object Removal,Imperative,Moderate Edit,Food
428304,1,Object Removal,Imperative,Moderate Edit,Food
428304,2,Object Removal,Imperative,Moderate Edit,Food
31749,1,Object Addition,Imperative,Subtle Edit,Furniture/Objects
524924,1,Object Replacement,Imperative,Drastic Edit,Furniture/Objects
524924,2,Object Replacement,Imperative,Moderate Edit,Food
524924,3,Object Replacement,Imperative,Moderate Edit,Food
190360,1,Attribute Changes,Imperative,Subtle Edit,Animals
190360,2,Object Addition,Imperative,Moderate Edit,People
190360,3,Object Addition,Imperative,Subtle Edit,Furniture/Objects
381112,1,Object Removal,Imperative,Moderate Edit,Animals
381112,2,Color Changes,Imperative,Subtle Edit,Furniture/Objects
381112,3,Object Addition,Imperative,Subtle Edit,Animals
182759,1,Attribute Changes,Imperative,Subtle Edit,Animals
182759,2,Attribute Changes,Imperative,Subtle Edit,Animals
182759,3,Attribute Changes,Imperative,Subtle Edit,Animals
44437,1,Object Addition,Imperative,Subtle Edit,People
44437,2,Object Addition,Imperative,Subtle Edit,People
151,1,Object Addition,Imperative,Moderate Edit,Animals
480776,1,Object Addition,Imperative,Moderate Edit,Background/Scene
480776,2,Object Addition,Interrogative,Moderate Edit,Background/Scene
50151,1,Object Addition,Interrogative,Subtle Edit,People
50151,2,Object Addition,Imperative,Moderate Edit,Animals
50151,3,Attribute Changes,Imperative,Moderate Edit,Furniture/Objects
211860,1,Attribute Changes,Imperative,Moderate Edit,People
211860,2,Color Changes,Imperative,Subtle Edit,People
496215,1,Object Addition,Imperative,Subtle Edit,People
496215,2,Object Addition,Imperative,Subtle Edit,Furniture/Objects
155790,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
155790,2,Scene Changes,Imperative,Moderate Edit,Background/Scene
155790,3,Object Addition,Interrogative,Subtle Edit,Furniture/Objects
236599,1,Attribute Changes,Imperative,Moderate Edit,People
513580,1,Object Removal,Imperative,Moderate Edit,People
577847,1,Object Replacement,Imperative,Moderate Edit,Food
577847,2,Object Replacement,Imperative,Moderate Edit,Food
577847,3,Object Addition,Imperative,Moderate Edit,Food
523394,1,Color Changes,Imperative,Moderate Edit,Furniture/Objects
139276,1,Object Addition,Interrogative,Subtle Edit,People
